,n_genes_by_counts,pct_counts_mt
count,268.0,268.0
mean,3287.731343283582,10.3704833984375
std,2033.4308903870353,5.039545059204102
min,367.0,0.42146822810173035
1%,445.02,1.6193704295158386
5%,653.25,2.592790532112122
25%,1561.75,6.398087978363037
50%,2959.0,10.125235557556152
75%,4790.0,14.064847946166992
95%,6983.199999999999,18.9258092880249
99%,7932.6199999999935,19.848533401489256
max,9624.0,20.07579231262207
